	L1_CD103	L2_CD103	L3_CD103	L1_DP	L2_DP	L3_DP	L1_DN	L2_DN	L3_DN	L2_CD49a	L3_CD49a
Hexa	806	558	387	493	354	450	661	667	512	372	431
Celf6	2	0	0	0	0	0	0	0	0	0	0
Parp6	862	833	524	742	782	1090	597	789	765	811	695
Pkm	40039	22443	16679	18570	19460	17935	25805	18761	19714	15641	16892
RP23-320D23.6	1019	794	561	369	286	294	1152	560	881	557	408
Gramd2	0	0	5	4	0	0	1	1	0	4	0
Senp8	84	63	33	40	56	56	107	154	81	51	66
Myo9a	747	673	490	1086	888	693	835	568	796	715	549
RP24-89C4.2	0	0	0	0	1	0	1	3	0	0	0
RP24-89C4.5	3	6	1	8	5	9	18	12	10	8	20
RP24-89C4.3	2	0	0	4	2	0	3	2	1	0	1
RP24-89C4.4	2	0	0	0	0	1	0	0	0	2	3
Nr2e3	0	0	0	0	0	0	0	0	0	0	0
RP23-26G8.2	0	0	0	0	0	0	0	0	0	0	0
RP23-26G8.3	0	0	0	0	0	0	0	0	0	0	0
Thsd4	0	0	0	0	0	0	0	0	0	3	0
Gm23668	0	0	0	0	0	0	0	0	0	0	0
RP23-106F10.1	0	0	0	0	0	0	0	0	0	0	0
RP23-106F10.2	0	0	0	0	0	0	0	0	0	0	0
Gm22099	0	0	0	0	0	0	0	0	0	0	0
RP23-203D1.2	0	0	0	0	0	0	0	0	0	0	0
RP23-203D1.5	0	0	0	0	0	0	0	0	0	0	0
RP23-203D1.3	0	0	0	0	0	0	0	0	0	0	0
RP23-203D1.4	0	0	0	0	0	0	0	0	0	0	0
Lrrc49	0	0	0	20	7	28	0	0	0	2	0
B930082K07Rik	0	0	0	0	0	0	0	0	0	0	0
Larp6	0	0	0	0	0	0	0	0	0	0	0
RP23-42F24.1	0	0	0	0	0	0	0	0	0	0	0
Uaca	11	0	0	0	18	4	1	3	2	5	11
RP23-9A12.2	0	0	0	0	0	0	0	0	0	0	0
RP23-9A12.3	0	0	0	0	0	0	0	0	0	0	0
RP23-9A12.4	0	0	0	0	0	0	0	0	0	0	0
RP23-116C19.1	0	0	5	6	7	3	0	0	0	1	0
RP23-9A12.5	0	0	0	1	0	1	0	0	0	0	0
RP23-116C19.4	0	0	0	0	0	0	0	0	0	0	0
RP23-116C19.5	0	0	0	0	0	0	0	0	0	0	0
RP23-116C19.2	0	0	0	0	0	0	0	0	0	0	0
RP23-116C19.3	0	0	0	0	0	0	0	0	0	0	0
RP23-122B15.1	0	0	0	0	0	0	0	0	0	0	0
RP23-122B15.2	0	0	0	0	0	0	0	0	0	0	0
RP24-473A18.2	13	9	1	12	5	14	22	5	3	12	17
Tle3	3156	2666	1588	3804	4137	3810	2497	2147	2217	2836	2954
RP24-473A18.3	0	0	0	1	1	0	0	0	0	0	0
RP24-473A18.4	1	1	1	0	0	0	0	0	0	0	0
RP24-142A8.1	0	0	0	0	0	0	0	0	0	0	0
RP23-5I6.1	0	0	0	0	0	0	0	0	0	0	1
RP24-572J16.1	0	0	0	0	0	0	0	0	0	0	0
Rplp1	13219	9035	6587	6587	4938	7488	16810	16160	13763	11461	10498
Kif23	72	144	65	217	332	274	93	94	97	292	218
Paqr5	5	1	0	0	2	16	4	7	20	19	7
Gm23221	0	0	0	0	0	0	0	0	0	0	0
Glce	801	485	326	938	736	702	644	434	448	677	587
Mir5133	0	0	0	0	0	0	0	0	0	0	0
RP23-417K23.2	1	0	0	2	0	0	1	1	1	1	0
RP23-417K23.1	0	0	0	0	0	0	0	0	0	0	0
Gm25603	0	0	0	0	0	0	0	0	0	0	0
Spesp1	0	0	0	0	0	3	0	0	0	0	0
RP23-417K23.4	0	0	0	1	0	4	0	0	5	0	0
Anp32a	232	129	87	590	373	520	306	351	232	382	394
Coro2b	1	0	0	1	5	0	0	0	2	9	0
n-R5s84	0	0	0	0	0	0	0	0	0	0	0
Itga11	1	5	4	4	0	13	0	8	7	8	7
RP23-337L12.6	6	2	2	5	3	1	2	3	12	6	0
Fem1b	991	808	433	1510	1174	1081	961	918	741	1034	970
Gm26609	20	15	13	7	4	16	28	19	8	3	12
Cln6	59	23	37	64	116	74	56	54	38	63	50
RP23-337L12.3	4	5	0	1	0	9	2	5	4	3	3
RP23-337L12.7	0	0	0	0	0	0	0	0	0	0	0
Calml4	3	3	1	2	2	9	3	5	1	6	3
Pias1	1740	1534	970	2169	2276	2371	1525	1520	1288	1889	1804
Gm24526	0	0	0	0	0	0	0	0	0	0	0
RP23-152A3.2	0	0	0	0	0	0	0	0	0	0	0
RP23-152A3.3	0	0	0	0	0	0	0	0	0	0	0
Gm25064	0	0	0	0	0	0	0	0	0	0	0
Skor1	0	0	0	0	0	0	0	0	0	4	0
Map2k5	519	438	292	401	503	466	511	578	487	532	334
RP23-284J4.2	227	234	154	194	153	202	257	211	199	191	217
RP23-284J4.1	0	0	0	1	0	0	0	2	0	0	0
Iqch	4	2	0	4	5	2	4	0	1	2	5
Gm25995	0	0	0	1	0	0	0	0	0	0	0
RP24-468F14.2	0	0	0	5	0	0	0	2	0	0	1
Aagab	1451	987	664	1511	1047	1409	1126	942	950	1146	1129
Smad3	3710	2363	1834	2195	2250	2590	3219	2326	3055	2617	2731
RP23-193N1.1	0	0	0	0	0	0	0	0	0	0	0
RP23-193N1.2	5	4	3	4	0	3	1	7	5	1	2
RP23-449K22.2	0	0	0	0	0	1	0	0	0	0	0
Smad6	1	1	1	11	55	4	0	0	0	8	6
RP24-209N21.4	0	0	0	0	0	0	0	0	0	0	0
Gm25606	0	0	0	0	0	0	0	0	0	0	0
1110036E04Rik	0	0	0	2	0	0	0	0	0	0	0
Scarletltr	0	0	0	0	0	0	0	0	0	0	0
Lctl	0	0	0	0	0	2	0	0	0	0	0
Zwilch	61	31	24	34	28	35	50	36	31	66	54
Rpl4	44191	34300	23075	26589	23197	29396	40189	40718	34048	33241	32136
Gm23344	12	21	5	2	5	5	11	17	15	7	7
Snord16a	0	0	0	0	0	0	0	0	0	0	0
Gm22571	38	36	36	46	28	36	45	37	62	42	32
Gm23136	15	32	23	16	12	28	47	29	43	19	20
Gm22455	0	0	0	0	0	0	0	0	0	0	0
Snapc5	401	217	132	431	342	390	474	351	312	460	399
Map2k1	2567	1789	1339	3570	3156	3413	2581	2440	2002	3042	3029
Gm24106	1	1	0	0	1	3	1	2	0	0	0
RP23-440L7.5	30	60	24	96	33	55	73	26	59	43	25
Uchl4	40	17	26	20	19	24	38	34	28	29	32
Tipin	1482	946	710	850	673	938	1274	863	1094	1067	987
Gm24289	0	2	0	0	0	0	0	0	0	0	1
Dis3l	519	427	301	451	589	472	462	442	500	553	543
Megf11	27	14	13	19	9	25	21	37	29	35	28
Rab11a	1399	1026	793	1542	1241	1632	1214	1184	1174	1529	1321
Gm47308	0	0	0	0	0	0	0	0	0	0	0
Dennd4a	1437	1609	1050	5238	5530	5209	2845	2934	2468	4622	3583
Gm24347	0	0	0	0	1	1	0	3	3	0	3
Slc24a1	1	15	2	18	45	33	0	27	6	16	35
Ints14	2662	1956	1205	1913	1928	1872	2420	1998	1629	1863	1659
Gm25640	0	1	0	3	1	2	1	1	0	2	0
Hacd3	3811	2452	1640	4502	3129	3900	4562	4178	3521	5197	4559
Dpp8	2552	1946	1301	2930	2498	2553	2617	2281	2265	2871	2073
RP24-296C19.4	5	1	3	0	1	0	3	2	3	2	0
Igdcc4	0	0	0	23	5	5	0	0	1	1	8
Igdcc3	0	9	0	3	1	1	0	0	0	0	0
Parp16	4	2	1	24	41	11	7	0	10	12	10
Gm25313	0	0	1	4	3	3	0	1	1	1	1
Rnu5g	5	4	0	3	3	4	1	2	3	10	2
Cilp	0	0	1	0	12	0	0	0	0	0	5
Clpx	1824	1335	901	1532	1544	1675	1545	1589	1169	1320	1373
RP23-100M12.3	3	10	1	7	1	4	3	2	0	0	3
RP23-100M12.7	1	6	3	1	3	6	5	11	1	1	2
RP23-100M12.6	0	0	0	0	4	4	0	1	0	4	0
RP24-131G14.4	0	1	0	3	0	0	0	0	0	0	0
Pdcd7	886	594	341	880	715	774	662	654	612	657	550
Ubap1l	2	1	2	7	3	8	2	8	10	3	1
RP24-131G14.5	0	0	0	0	1	1	0	0	0	0	0
Kbtbd13	0	0	0	0	12	0	0	0	0	8	5
Rasl12	0	0	0	7	4	25	7	0	22	5	1
Slc51b	0	0	0	0	0	0	0	0	0	0	0
Mtfmt	1098	854	529	865	550	846	1073	959	1056	933	698
RP24-131G14.10	11	23	13	21	14	1	33	39	22	22	18
Spg21	3624	2598	1616	2330	1919	2058	3128	2899	2550	2801	2355
Ankdd1a	1	0	0	8	0	3	5	2	0	0	4
RP24-131G14.13	0	0	0	6	2	10	0	0	0	1	0
Plekho2	580	318	285	1308	1618	1171	413	385	407	1122	1042
Pif1	10	0	2	0	0	2	15	15	8	0	0
Rbpms2	441	334	174	134	119	167	843	792	724	332	302
Oaz2	292	194	109	214	239	217	262	221	208	307	243
Zfp609	745	582	388	452	420	505	483	343	479	413	454
Trip4	947	916	558	1325	1022	1313	733	693	735	1102	911
n-R5s85	1	1	0	2	0	0	0	0	0	0	0
RP23-177B17.3	3	0	1	0	2	2	4	0	4	0	0
Pclaf	45	95	18	16	13	15	35	29	18	14	25
Gm23248	0	0	0	0	0	0	0	0	0	0	0
Csnk1g1	1024	968	522	1473	1375	1394	1408	797	1034	979	995
Gm22657	0	1	1	2	0	1	1	5	1	2	2
Ppib	1490	1134	796	1492	1167	1484	1386	1407	1205	1432	1317
Snx22	1	7	5	6	13	11	13	5	4	11	2
Snx1	3960	3048	2269	3236	2660	3394	3373	3334	3258	3329	3178
Fam96a	3665	2700	1947	2005	1543	2263	4443	3641	3109	3159	2609
Dapk2	5	43	2	23	68	36	6	6	4	21	28
Herc1	1389	1403	699	1646	1714	1396	1512	1199	1089	1319	1079
Gm23428	0	1	2	0	0	1	1	0	0	0	0
RP23-25A17.2	0	0	0	0	0	4	0	0	1	1	0
Fbxl22	22	43	18	37	52	92	57	71	79	33	32
Usp3	1268	1165	786	1266	1032	1308	1386	1371	1218	1451	1056
RP24-407J14.1	0	4	1	4	0	2	4	4	5	1	1
Car12	892	673	448	155	93	207	1183	607	873	544	472
Aph1b	2	6	3	11	3	5	13	3	20	4	6
Gm10647	0	2	4	4	3	1	0	0	0	0	1
RP24-132F22.5	0	0	0	0	0	0	0	0	2	0	0
Ppp1r2-ps4	0	0	1	1	1	1	0	1	0	0	1
Aph1c	4	25	2	7	9	21	1	6	8	14	16
RP24-132F22.3	3	2	0	2	7	10	7	4	3	4	5
Rab8b	10257	9391	5091	17044	18250	16613	10673	15602	9740	18768	14182
Rps27l	7790	5018	3680	5141	3363	5386	11296	7775	7051	7226	6327
Lactb	263	197	115	355	399	451	281	312	169	296	241
Gm24225	0	0	0	0	0	1	0	0	0	0	0
Tpm1	995	621	422	1448	1078	1345	727	497	521	859	739
RP23-20I24.2	0	0	0	0	0	0	0	0	1	1	0
Gm22145	0	0	0	0	0	0	0	0	0	0	0
RP23-225C11.1	0	0	0	0	0	0	0	0	0	0	0
Tln2	1	0	4	0	3	4	3	6	1	0	1
Mir190a	0	0	0	0	0	0	0	0	0	0	0
RP23-340D4.2	0	0	0	0	0	0	0	0	0	0	0
RP24-76M8.4	0	0	0	0	0	0	0	0	0	0	0
Mir7241	0	0	0	0	0	0	0	0	0	0	0
Mir7242	0	0	0	0	0	0	0	0	0	0	0
RP24-76M8.3	0	1	0	0	0	0	0	0	0	0	0
RP24-76M8.1	1	0	0	0	0	0	0	0	0	0	0
C2cd4b	14	1	12	5	8	21	18	8	8	15	6
C2cd4a	0	0	0	0	0	0	0	0	1	0	0
Vps13c	121	84	33	54	103	101	113	155	95	133	135
RP24-151D4.1	0	0	0	0	0	0	0	0	0	0	0
RP23-112O8.1	0	0	0	0	0	0	0	0	0	0	0
Gm22382	0	0	0	0	0	0	0	0	0	0	0
RP23-18I3.1	0	0	1	0	0	0	0	0	0	0	0
Gm22169	0	0	0	0	0	0	0	0	0	0	0
RP24-185I21.1	0	0	0	0	0	0	0	0	0	0	0
Gm22962	0	0	0	0	0	0	0	0	0	0	0
RP24-185I21.2	0	0	0	0	0	0	0	0	0	0	0
Rora	526	446	276	2795	2379	2487	368	461	252	1458	1396
RP23-82F10.2	2	2	2	9	3	5	1	3	0	3	1
Ice2	820	791	417	468	524	513	817	727	791	585	556
RP23-82F10.5	0	0	1	0	0	0	3	0	1	0	0
RP23-82F10.3	0	0	0	0	0	0	0	0	0	0	0
RP23-82F10.4	0	0	0	0	0	0	0	1	0	0	0
Anxa2	2005	1002	993	14856	14450	16290	4465	3770	3778	7321	8666
Mir3109	0	0	0	0	0	0	0	0	0	0	0
CT009708.2	2	1	0	21	19	28	2	0	0	9	17
RP24-421D3.1	0	0	0	0	0	0	0	0	0	0	0
Foxb1	0	2	0	0	4	0	0	0	0	0	0
RP24-396L14.1	0	0	0	0	0	0	0	0	0	0	0
RP24-396L14.3	0	0	0	0	0	0	0	0	0	0	0
RP23-277J20.1	2	4	0	10	17	7	5	6	10	13	7
Bnip2	1529	979	585	2216	2052	2143	1347	1160	1173	1936	1795
Gtf2a2	1334	1054	716	620	515	709	1316	1261	1299	1054	771
Gcnt3	0	0	0	0	0	0	0	0	0	0	0
RP23-128A23.3	0	0	0	0	0	0	0	0	0	0	0
RP23-128A23.2	0	0	0	0	0	0	0	0	0	0	0
Fam81a	0	0	1	0	0	7	1	0	6	0	0
Gm24257	0	0	0	0	0	0	0	0	0	0	0
Gm26849	0	0	0	0	0	0	0	0	0	0	0
Myo1e	559	579	394	897	631	768	469	273	469	581	548
Mir5626	0	0	0	0	0	0	0	0	0	0	0
Ccnb2	41	52	25	14	11	16	14	6	5	20	8
Rnf111	2100	1895	1207	2344	2683	2567	1778	1830	1765	2321	1799
Gm24615	0	0	0	0	0	0	0	0	0	0	0
Gm23588	0	0	0	0	0	0	0	0	0	0	0
Gm23730	0	0	0	0	0	0	0	0	0	0	0
Gm22229	0	0	0	0	0	0	0	0	0	0	0
Sltm	2512	2676	1526	2246	2071	2500	2857	2543	2426	2385	1917
Fam63b	156	136	87	450	371	411	154	145	105	228	185
Gm10642	1	2	0	4	1	0	0	0	0	2	0
Adam10	4961	4767	2353	4999	6491	5318	3597	4508	3019	4742	3712
Lipc	0	0	0	0	0	0	0	0	0	2	0
Gm25149	0	0	0	0	0	0	0	0	0	0	0
RP24-68C7.3	1	3	4	5	5	4	7	8	5	3	3
RP23-413J12.1	0	0	0	6	0	0	0	0	0	0	0
Aqp9	21	28	9	6	24	2	18	45	49	38	29
RP23-2F19.3	0	0	0	0	0	0	0	2	0	0	0
RP23-2F19.2	0	0	0	0	0	0	0	0	0	0	0
Aldh1a2	6	14	1	27	15	5	8	0	5	0	6
RP24-86L13.2	0	0	0	0	0	0	0	0	0	0	0
Polr2m	5007	4111	2599	4384	3705	4621	4173	3799	3491	4059	3689
Gcom1	0	0	0	0	0	0	0	0	0	0	0
Myzap	10	0	0	6	3	4	3	0	0	5	9
RP23-99B22.2	0	0	0	0	0	1	0	0	0	0	0
Cgnl1	10	0	0	19	0	6	10	0	0	1	0
RP23-79K5.1	0	0	0	0	0	0	0	0	0	0	0
RP23-79K5.4	2	26	21	11	9	8	24	22	29	24	3
Tcf12	1441	1168	682	1164	899	1092	1301	1159	1174	1151	924
RP23-79K5.3	11	7	10	21	9	32	14	14	22	2	15
RP23-16D16.12	7	9	1	5	0	7	10	6	19	9	10
RP23-16D16.1	0	1	5	2	7	3	3	3	6	3	0
RP23-16D16.14	10	11	11	16	10	19	23	29	7	8	22
RP23-16D16.2	0	0	0	0	0	0	0	0	0	3	0
RP23-16D16.5	9	14	6	6	7	9	44	14	22	13	10
RP23-16D16.4	4	6	0	1	0	0	3	3	3	4	2
RP23-16D16.13	13	9	12	6	7	12	20	9	16	25	7
Gm27450	0	0	0	0	0	0	0	0	0	0	0
RP24-221A23.7	7	18	4	6	13	11	19	20	14	6	13
Rpl15-ps2	1	2	1	0	1	1	2	3	2	1	2
Gm25045	0	0	0	0	0	0	0	0	0	0	0
RP24-221A23.1	0	0	0	0	0	0	0	0	1	0	0
RP23-292F17.3	9	2	1	0	0	1	2	4	4	1	2
RP23-292F17.6	0	0	0	0	0	0	0	0	0	0	0
RP23-292F17.7	0	0	0	2	1	0	0	0	0	0	0
RP23-292F17.1	0	0	0	0	0	0	0	0	0	0	0
Gm25163	0	0	0	0	0	1	1	0	0	0	0
RP23-292F17.5	7	11	4	7	5	7	9	9	11	7	11
Zfp280d	977	896	623	624	685	716	1059	698	690	835	638
RP23-292F17.2	6	3	1	1	0	2	0	6	1	1	1
RP23-292F17.4	1	0	2	0	0	0	3	0	0	0	0
RP24-282D16.11	3	3	0	1	0	0	0	0	3	0	0
RP24-282D16.9	6	10	3	4	3	4	7	7	3	16	8
RP24-282D16.8	0	0	0	0	5	1	3	5	0	3	0
RP24-282D16.3	0	0	0	0	0	0	0	0	0	0	0
RP24-282D16.12	0	0	0	0	0	0	0	0	0	0	0
RP24-282D16.2	0	0	0	0	0	0	0	0	0	0	0
RP24-282D16.6	0	0	0	0	0	0	0	0	0	0	0
RP24-282D16.5	0	0	0	0	3	0	0	0	0	0	0
Mns1	22	27	8	23	38	42	36	3	26	30	26
RP24-282D16.4	0	0	0	0	2	5	0	6	1	8	11
RP23-296I6.1	0	0	0	0	0	0	0	0	0	0	0
Tex9	19	6	3	22	22	33	5	13	25	14	13
Gm28010	0	0	0	0	0	0	0	0	0	0	0
RP23-349N4.3	0	1	1	2	0	1	22	0	0	2	1
Rfx7	2042	1958	1197	1746	1600	1684	1772	1629	1763	1472	1346
RP23-296I6.5	0	5	3	8	0	14	7	10	6	1	2
RP23-296I6.4	6	16	13	18	6	13	10	23	13	9	9
RP23-296I6.9	0	2	0	4	0	9	3	1	3	5	0
RP23-296I6.3	5	11	2	2	2	8	10	15	8	12	2
RP23-296I6.12	0	0	0	0	0	0	0	0	0	0	0
Gm23057	0	0	0	0	0	0	0	0	0	0	0
Nedd4	237	260	186	671	852	747	416	274	396	507	455
RP23-296I6.7	0	1	4	7	4	17	12	9	8	3	5
RP23-296I6.8	0	6	0	4	7	19	26	0	6	1	12
RP23-296I6.10	0	0	0	0	0	0	1	0	1	1	0
RP23-461P14.1	5	15	4	9	1	7	11	9	17	9	10
RP23-461P14.6	0	0	0	0	0	0	0	0	0	0	0
Prtg	0	0	0	0	0	0	0	0	0	0	0
RP23-461P14.5	0	0	0	0	0	0	0	0	0	0	0
RP23-461P14.4	0	0	0	0	0	0	0	0	0	0	0
RP24-176F12.6	0	1	0	0	0	0	0	0	0	0	0
Pygo1	0	0	0	0	0	0	0	0	0	0	0
Dyx1c1	0	0	0	0	0	0	0	0	1	0	0
Dyx1c1Ccpg1	0	0	0	0	0	0	0	0	0	0	0
Gm23567	0	0	0	0	0	0	0	0	0	0	0
RP24-176F12.13	0	0	0	0	0	0	0	7	0	0	0
Ccpg1os	3	2	0	4	10	23	7	12	9	13	6
Ccpg1	9	17	0	15	22	21	10	22	5	16	14
Gm27353	0	0	0	0	0	0	0	1	2	1	0
Pigb	285	220	155	156	111	98	299	280	178	216	196
RP24-176F12.12	2	3	5	0	0	3	2	1	3	0	1
RP24-176F12.14	229	185	129	119	97	210	227	207	261	224	210
Rab27a	2417	1874	1298	2095	2413	2405	1546	1304	1350	1249	1061
RP24-280G4.9	0	0	0	0	2	0	0	0	0	0	0
Khdc3	6	4	8	16	4	6	1	2	12	7	4
RP24-280G4.3	0	0	0	0	0	0	0	0	0	0	0
Rsl24d1	6439	4773	3046	3120	2665	3059	5785	5408	4518	4000	3792
RP24-280G4.6	15	1	1	1	0	7	3	10	6	4	10
RP24-280G4.7	0	0	0	0	0	1	0	0	0	1	0
RP23-339G10.1	0	0	0	0	0	0	0	0	0	0	0
Unc13c	0	0	0	0	0	0	0	0	2	0	0
RP23-143M5.2	0	0	0	0	0	0	0	0	0	0	0
RP24-84L8.2	0	0	0	0	0	0	0	0	0	0	0
Gm25105	0	0	0	0	0	0	0	0	0	0	0
RP24-218I3.2	0	0	0	0	0	0	0	0	0	0	0
n-R5s86	0	0	0	0	0	0	0	0	0	0	0
Wdr72	0	0	0	0	0	0	0	0	0	0	0
Gm24141	0	0	0	0	0	0	0	0	0	0	0
Nr1h2-ps	0	0	0	0	0	0	0	0	0	0	0
RP24-376I11.2	0	0	0	0	0	0	0	0	0	0	0
RP24-376I11.1	0	0	0	0	0	0	0	0	0	0	0
RP23-402M18.1	0	0	0	0	0	0	0	0	0	0	0
Gm22315	0	0	0	0	0	0	0	0	0	0	0
RP23-157H17.2	0	0	0	0	0	0	0	0	0	0	0
RP23-342N19.2	0	0	0	0	0	0	0	0	0	0	0
RP23-157H17.3	0	0	0	0	0	0	0	0	0	0	0
Onecut1	0	0	0	0	0	0	0	0	0	0	0
Fam214a	70	78	33	290	155	110	81	115	95	132	55
Arpp19	3768	2868	2072	3108	2655	3616	4004	3658	3427	3647	3112
RP23-203P12.5	5	6	5	1	3	6	6	5	6	8	7
Myo5a	1189	1058	680	1051	1134	1346	1259	865	1134	1251	1101
RP23-203P12.1	0	0	0	0	0	0	0	2	0	0	0
RP23-203P12.2	4	0	0	0	0	3	8	3	0	12	15
Myo5c	0	0	0	1	0	0	0	0	0	0	0
Gnb5	40	32	38	62	81	66	31	14	23	81	20
RP24-189I2.4	2	11	2	11	1	9	1	0	1	0	4
RP24-189I2.5	1	1	2	3	0	2	2	0	0	0	1
Bcl2l10	2	0	0	0	0	0	0	0	0	0	0
Mapk6	8732	7517	4339	5392	5618	5555	5900	5504	4762	5030	4266
RP24-365N15.4	0	0	0	2	2	0	0	0	0	0	1
RP24-365N15.3	5	2	4	9	0	6	0	0	0	1	0
RP24-365N15.5	19	13	4	5	1	6	6	8	4	7	6
Leo1	1855	1344	986	1576	1488	1820	1527	1396	1294	1592	1337
RP24-365N15.2	0	7	4	2	6	7	1	0	17	12	6
Tmod3	3338	2925	1898	4521	4449	4125	3431	3320	2857	3985	3532
RP24-365N15.9	0	0	0	0	0	0	0	0	0	0	0
Tmod2	0	0	0	0	17	0	0	0	0	6	5
RP24-126O19.4	0	0	0	0	0	0	0	0	0	0	0
Lysmd2	288	266	126	95	101	113	373	340	293	283	218
Scg3	0	0	0	0	0	0	2	0	0	0	6
RP23-429A10.2	0	0	0	0	0	0	0	0	0	0	0
RP23-429A10.1	3	0	0	3	3	2	5	1	0	3	1
Bmp5	0	0	0	0	2	0	8	0	0	0	0
RP23-426K2.2	0	0	0	0	0	0	0	0	0	0	0
RP23-343K17.3	0	0	0	0	0	0	0	0	0	0	0
Gm44355	0	0	0	0	0	0	0	0	0	0	0
RP23-426K2.3	0	0	0	0	0	0	0	0	0	0	0
Gm25300	0	0	0	0	0	0	0	0	0	0	0
Hmgcll1	0	0	0	0	0	0	0	0	0	0	1
RP23-343K17.2	0	0	0	0	0	0	0	0	0	0	0
Gfral	0	0	0	0	0	0	0	0	0	0	0
Hcrtr2	0	0	0	0	0	0	0	0	0	0	0
RP23-392M3.2	0	0	0	0	0	0	0	0	0	0	0
Fam83b	0	0	0	0	0	0	0	0	0	0	13
RP23-264P8.1	0	0	0	0	0	0	0	0	0	0	0
RP23-264P8.2	0	0	0	0	0	0	0	0	0	0	0
Gm22938	0	0	0	0	0	0	0	0	0	0	0
RP24-375O19.4	0	0	0	0	0	0	0	0	0	0	0
RP24-375O19.3	0	0	0	0	0	0	0	0	0	0	0
Gm23791	0	0	0	0	0	0	0	0	0	0	0
RP23-18M12.2	0	0	0	0	0	0	0	0	0	0	0
RP23-18M12.1	0	0	0	0	0	0	0	0	0	0	0
Tinag	0	0	0	0	0	0	0	0	0	0	1
RP23-282G22.4	0	0	0	0	0	0	0	0	0	0	0
RP23-282G22.2	0	0	0	0	0	0	0	0	0	0	0
RP23-443P12.1	0	0	0	0	0	0	0	0	0	0	0
Mlip	0	0	0	0	1	0	1	0	0	0	0
RP24-326O4.1	0	0	0	0	0	0	0	0	0	0	0
RP24-326O4.2	0	0	0	0	0	0	0	0	0	0	0
RP23-264N13.1	0	0	0	0	0	0	0	0	0	0	0
RP23-264N13.2	0	0	0	0	0	0	0	0	0	0	0
Lrrc1	256	175	110	167	196	245	159	161	105	172	150
RP24-364K9.3	1	17	14	25	6	0	12	7	9	11	14
RP24-364K9.2	0	0	0	0	0	0	0	0	0	0	0
Gm25250	0	0	0	0	0	0	0	0	0	0	0
Klhl31	1	5	1	0	1	5	0	7	1	4	5
RP23-268C22.3	0	0	0	0	0	0	0	0	0	0	0
RP23-268C22.2	0	0	0	0	0	0	0	0	0	0	0
RP23-297P22.1	0	0	0	0	0	0	0	0	0	0	0
Gclc	5882	5368	3110	7143	8382	7259	6334	6232	5707	7403	5123
RP24-397P9.4	0	0	0	1	0	0	0	0	1	0	0
RP24-397P9.2	0	0	0	0	1	1	0	0	0	0	0
RP24-397P9.3	0	0	0	0	0	0	0	0	0	0	0
RP24-397P9.5	0	0	0	0	0	0	0	0	0	0	0
Elovl5	1047	883	587	2132	2470	2235	1323	1681	1155	2429	1487
RP23-37D14.4	0	0	0	1	3	0	1	0	0	3	2
Gm23609	0	0	0	0	0	0	0	0	0	0	0
RP23-37D14.3	0	0	0	0	0	0	0	0	0	0	0
RP23-37D14.5	0	0	0	0	0	0	0	0	0	0	0
Gcm1	0	0	0	0	1	0	0	0	0	0	0
RP23-37D14.7	0	0	0	1	0	2	1	0	0	1	0
Fbxo9	660	446	304	831	657	602	690	697	494	724	589
Ick	47	37	19	73	66	70	50	48	26	60	61
Rn7sk	47	37	42	81	108	76	72	75	69	72	75
RP23-99D11.4	42	32	32	30	29	47	31	38	60	47	41
Gsta4	61	9	11	57	20	27	53	15	6	6	18
RP23-99D11.5	0	0	0	0	0	0	0	0	0	0	0
Gsta1	3	0	0	4	0	2	1	0	0	0	1
RP23-99D11.7	0	0	0	0	0	0	0	0	0	0	0
RP24-160H16.10	0	0	0	1	0	0	0	0	0	0	1
RP23-99D11.8	0	0	0	0	0	0	0	0	0	0	0
AC138587.1	0	0	0	0	0	0	0	0	0	0	0
Omt2a	0	0	0	0	0	0	0	0	0	0	0
RP24-160H16.9	0	0	0	0	0	0	0	0	0	0	0
Omt2b	0	0	0	0	0	0	0	0	0	0	0
Gsta2	0	0	0	4	0	0	0	3	0	0	0
Dppa5a	0	0	0	0	0	1	0	0	0	0	0
Ooep	0	0	0	0	0	0	0	0	0	0	0
RP24-160H16.4	0	0	0	0	3	3	0	0	0	0	0
RP24-160H16.7	4	2	0	0	2	3	2	3	3	0	1
Ddx43	64	67	54	65	74	103	175	146	159	153	94
RP23-366K1.2	1	0	0	0	0	0	0	7	3	3	2
Mb21d1	780	613	351	420	526	424	685	546	743	640	453
Gm17324	21	30	13	37	10	16	23	18	25	28	12
Mto1	1082	694	429	696	479	714	938	661	932	744	713
Eef1a1	80547	61981	40726	58927	47834	63955	74508	84111	68968	71166	68869
Gm26377	0	0	0	0	0	0	0	0	0	0	0
RP23-366K1.6	2	7	9	1	0	0	9	12	6	2	2
Slc17a5	125	90	61	193	330	224	129	146	119	208	185
Cd109	0	0	0	0	33	0	0	0	0	6	0
RP24-490A17.1	0	0	0	0	0	0	0	0	0	0	0
RP24-70H20.4	0	0	0	0	0	0	0	0	0	0	0
RP24-70H20.5	0	0	0	0	0	0	0	0	0	0	0
RP24-70H20.2	3	3	4	2	2	0	4	2	2	1	2
RP24-75M13.2	0	0	0	0	0	0	0	1	0	0	0
RP24-75M13.1	0	0	0	0	0	0	0	0	0	0	0
RP23-93J3.1	0	0	0	0	0	0	0	0	0	0	0
RP23-433C10.1	0	0	0	0	0	0	0	0	0	0	0
RP23-433C10.2	0	0	0	0	0	0	0	0	0	0	0
